No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
31,192,111,81,40,0,0,126,76,50,41,40,1,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,976,519,457,205,389,171,416,260,156,347,229,118,15,3
704,4181,2251,1930,733,442,13,2375,1433,942,1372,1044,328,353,7
128,821,438,383,119,129,0,554,351,203,228,212,16,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,1384,727,657,320,718,1,677,409,268,519,377,142,58,0
220,1298,690,608,217,153,0,555,354,201,326,317,9,95,0
372,2157,1130,1027,382,402,7,1187,741,446,688,553,135,294,6
174,1041,552,489,181,14,0,620,372,248,265,231,34,6,6
369,2277,1202,1075,348,375,0,1391,837,554,595,528,67,268,5
37,185,93,92,46,0,185,24,12,12,74,42,32,0,1
787,4304,2223,2081,881,753,1823,1232,788,444,1777,1055,722,135,3
373,1867,969,898,404,453,0,717,436,281,690,452,238,58,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,1055,561,494,209,182,0,519,328,191,271,230,41,1,0
77,469,244,225,116,235,0,188,121,67,124,112,12,1,0
72,440,245,195,79,144,0,221,152,69,89,85,4,66,0
85,503,286,217,86,140,0,346,214,132,140,104,36,83,1
232,1148,633,515,158,0,0,855,489,366,287,262,25,79,5
31,144,69,75,46,126,0,47,25,22,62,35,27,60,0
151,867,462,405,147,77,1,594,338,256,212,203,9,13,0
210,1111,581,530,204,339,0,641,391,250,312,257,55,165,5
796,4746,2456,2290,1081,1077,801,1360,858,502,1816,1156,660,1059,55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,331,182,149,68,314,0,57,31,26,149,78,71,143,1
192,1042,580,462,178,85,6,623,394,229,248,225,23,63,12
351,1966,1035,931,401,104,0,962,603,359,519,481,38,53,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,94,47,47,21,0,0,48,31,17,41,26,15,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1273,690,583,228,469,4,524,351,173,321,307,14,0,0
224,1532,783,749,318,400,1,393,262,131,394,362,32,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,535,294,241,113,245,0,286,198,88,220,158,62,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,5470,2875,2595,1051,1300,0,2866,1791,1075,1640,1264,376,85,9
41,200,95,105,50,173,1,26,14,12,85,47,38,73,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,793,427,366,132,153,0,364,241,123,433,237,196,32,0
228,995,496,499,258,497,0,316,184,132,313,194,119,41,2
204,1199,656,543,211,19,0,560,345,215,394,266,128,7,5
317,2098,1147,951,347,341,8,962,634,328,1059,585,474,142,16
99,693,358,335,141,0,0,332,200,132,347,194,153,25,1
240,1450,748,702,149,11,0,1107,627,480,501,402,99,28,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,2106,1070,1036,404,175,0,998,592,406,503,458,45,90,2
1,3,2,1,0,0,0,1,1,0,3,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,1618,894,724,269,193,0,978,608,370,404,390,14,8,2
65,379,200,179,85,0,0,121,88,33,92,70,22,10,0
349,2356,1254,1102,475,126,4,1169,702,467,559,521,38,104,3
1122,7291,3857,3434,1527,1075,11,3043,1932,1111,2315,1598,717,105,9
1008,6776,3697,3079,1402,828,10,3369,2136,1233,2186,1727,459,479,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,3526,1872,1654,464,169,0,2361,1368,993,1145,889,256,485,1
408,2569,1363,1206,522,678,18,1005,608,397,930,644,286,360,38
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,3932,2048,1884,734,952,9,1853,1112,741,1339,942,397,297,50
230,1333,719,614,212,298,1,750,443,307,314,269,45,28,2
402,2655,1404,1251,477,460,2,1680,995,685,804,618,186,123,5
41,179,100,79,20,179,0,34,20,14,76,40,36,76,0
359,2085,1103,982,298,275,1,1316,749,567,726,505,221,81,2
1475,9376,4964,4412,1429,1323,18,5930,3442,2488,2510,2145,365,258,52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,467,236,231,74,0,0,311,170,141,126,110,16,35,0
